"Date","Country","Cases"
"2022-10-13","Austria","1"
"2022-10-14","Austria","1"
"2022-10-18","Austria","1"
"2022-10-27","Austria","1"
"2022-10-28","Austria","1"
"2022-11-24","Austria","1"
"2022-05-10","Belgium","1"
"2022-05-11","Belgium","1"
"2022-05-15","Belgium","1"
"2022-05-16","Belgium","1"
"2022-05-17","Belgium","1"
"2022-05-18","Belgium","3"
"2022-05-19","Belgium","1"
"2022-05-20","Belgium","2"
"2022-05-21","Belgium","2"
"2022-05-22","Belgium","1"
"2022-05-23","Belgium","1"
"2022-05-24","Belgium","5"
"2022-05-25","Belgium","4"
"2022-05-26","Belgium","1"
"2022-05-27","Belgium","2"
"2022-05-29","Belgium","3"
"2022-05-30","Belgium","6"
"2022-05-31","Belgium","3"
"2022-06-01","Belgium","2"
"2022-06-02","Belgium","2"
"2022-06-03","Belgium","1"
"2022-06-04","Belgium","4"
"2022-06-05","Belgium","3"
"2022-06-06","Belgium","1"
"2022-06-07","Belgium","6"
"2022-06-08","Belgium","6"
"2022-06-09","Belgium","5"
"2022-06-10","Belgium","6"
"2022-06-11","Belgium","7"
"2022-06-12","Belgium","3"
"2022-06-13","Belgium","12"
"2022-06-14","Belgium","5"
"2022-06-15","Belgium","14"
"2022-06-16","Belgium","6"
"2022-06-17","Belgium","4"
"2022-06-18","Belgium","10"
"2022-06-19","Belgium","9"
"2022-06-20","Belgium","6"
"2022-06-21","Belgium","10"
"2022-06-22","Belgium","9"
"2022-06-23","Belgium","7"
"2022-06-24","Belgium","4"
"2022-06-25","Belgium","8"
"2022-06-26","Belgium","5"
"2022-06-27","Belgium","13"
"2022-06-28","Belgium","9"
"2022-06-29","Belgium","9"
"2022-06-30","Belgium","6"
"2022-07-01","Belgium","11"
"2022-07-02","Belgium","8"
"2022-07-03","Belgium","10"
"2022-07-04","Belgium","17"
"2022-07-05","Belgium","12"
"2022-07-06","Belgium","15"
"2022-07-07","Belgium","11"
"2022-07-08","Belgium","16"
"2022-07-09","Belgium","8"
"2022-07-10","Belgium","8"
"2022-07-11","Belgium","15"
"2022-07-12","Belgium","11"
"2022-07-13","Belgium","14"
"2022-07-14","Belgium","12"
"2022-07-15","Belgium","14"
"2022-07-16","Belgium","7"
"2022-07-17","Belgium","10"
"2022-07-18","Belgium","20"
"2022-07-19","Belgium","9"
"2022-07-20","Belgium","10"
"2022-07-21","Belgium","12"
"2022-07-22","Belgium","12"
"2022-07-23","Belgium","8"
"2022-07-24","Belgium","6"
"2022-07-25","Belgium","13"
"2022-07-26","Belgium","9"
"2022-07-27","Belgium","18"
"2022-07-28","Belgium","10"
"2022-07-29","Belgium","11"
"2022-07-30","Belgium","13"
"2022-07-31","Belgium","12"
"2022-08-01","Belgium","11"
"2022-08-02","Belgium","5"
"2022-08-03","Belgium","10"
"2022-08-04","Belgium","6"
"2022-08-05","Belgium","8"
"2022-08-06","Belgium","6"
"2022-08-07","Belgium","5"
"2022-08-08","Belgium","4"
"2022-08-09","Belgium","6"
"2022-08-10","Belgium","10"
"2022-08-11","Belgium","11"
"2022-08-12","Belgium","4"
"2022-08-13","Belgium","2"
"2022-08-14","Belgium","2"
"2022-08-15","Belgium","4"
"2022-08-16","Belgium","6"
"2022-08-17","Belgium","10"
"2022-08-19","Belgium","5"
"2022-08-20","Belgium","2"
"2022-08-21","Belgium","5"
"2022-08-22","Belgium","7"
"2022-08-23","Belgium","6"
"2022-08-24","Belgium","2"
"2022-08-25","Belgium","5"
"2022-08-26","Belgium","1"
"2022-08-27","Belgium","2"
"2022-08-28","Belgium","4"
"2022-08-29","Belgium","1"
"2022-08-30","Belgium","2"
"2022-09-01","Belgium","1"
"2022-09-03","Belgium","1"
"2022-09-05","Belgium","3"
"2022-09-06","Belgium","1"
"2022-09-07","Belgium","3"
"2022-09-08","Belgium","1"
"2022-09-09","Belgium","2"
"2022-09-10","Belgium","2"
"2022-09-11","Belgium","2"
"2022-09-13","Belgium","3"
"2022-09-14","Belgium","1"
"2022-09-15","Belgium","1"
"2022-09-16","Belgium","2"
"2022-09-17","Belgium","2"
"2022-09-18","Belgium","2"
"2022-09-22","Belgium","1"
"2022-09-23","Belgium","1"
"2022-09-24","Belgium","1"
"2022-09-26","Belgium","1"
"2022-09-27","Belgium","1"
"2022-09-28","Belgium","3"
"2022-09-29","Belgium","1"
"2022-10-01","Belgium","1"
"2022-10-02","Belgium","1"
"2022-10-04","Belgium","1"
"2022-10-08","Belgium","2"
"2022-10-24","Belgium","1"
"2022-11-01","Belgium","1"
"2022-11-02","Belgium","1"
"2022-11-17","Belgium","1"
"2022-07-02","Bosnia and Herzegovina","1"
"2022-07-28","Bosnia and Herzegovina","1"
"2022-07-30","Bosnia and Herzegovina","1"
"2022-08-23","Bosnia and Herzegovina","1"
"2022-08-29","Bosnia and Herzegovina","1"
"2022-09-13","Bosnia and Herzegovina","1"
"2022-09-15","Bosnia and Herzegovina","1"
"2022-09-22","Bosnia and Herzegovina","1"
"2022-10-04","Bosnia and Herzegovina","1"
"2022-06-10","Bulgaria","1"
"2022-06-18","Bulgaria","1"
"2022-06-21","Bulgaria","1"
"2022-07-13","Bulgaria","1"
"2022-08-16","Bulgaria","1"
"2022-09-08","Bulgaria","1"
"2022-06-19","Croatia","1"
"2022-06-30","Croatia","1"
"2022-07-04","Croatia","1"
"2022-07-06","Croatia","1"
"2022-07-07","Croatia","2"
"2022-07-09","Croatia","1"
"2022-07-12","Croatia","3"
"2022-07-17","Croatia","1"
"2022-07-24","Croatia","1"
"2022-07-27","Croatia","1"
"2022-07-28","Croatia","1"
"2022-07-30","Croatia","1"
"2022-08-04","Croatia","3"
"2022-08-06","Croatia","1"
"2022-08-07","Croatia","1"
"2022-08-08","Croatia","1"
"2022-08-10","Croatia","2"
"2022-08-12","Croatia","1"
"2022-08-14","Croatia","1"
"2022-08-16","Croatia","1"
"2022-08-25","Croatia","1"
"2022-08-31","Croatia","1"
"2022-09-11","Croatia","1"
"2022-12-14","Croatia","1"
"2022-12-21","Croatia","1"
"2022-07-26","Cyprus","1"
"2022-07-27","Cyprus","1"
"2022-07-28","Cyprus","1"
"2022-08-15","Cyprus","1"
"2022-08-16","Cyprus","1"
"2022-04-22","Czechia","1"
"2022-05-09","Czechia","1"
"2022-05-10","Czechia","1"
"2022-05-18","Czechia","1"
"2022-05-22","Czechia","1"
"2022-05-25","Czechia","1"
"2022-06-03","Czechia","1"
"2022-06-11","Czechia","1"
"2022-06-19","Czechia","1"
"2022-06-21","Czechia","1"
"2022-06-23","Czechia","1"
"2022-06-25","Czechia","1"
"2022-07-01","Czechia","2"
"2022-07-04","Czechia","2"
"2022-07-07","Czechia","1"
"2022-07-08","Czechia","1"
"2022-07-09","Czechia","1"
"2022-07-14","Czechia","1"
"2022-07-16","Czechia","1"
"2022-07-18","Czechia","3"
"2022-07-19","Czechia","1"
"2022-07-21","Czechia","1"
"2022-07-22","Czechia","1"
"2022-07-23","Czechia","1"
"2022-07-24","Czechia","1"
"2022-07-25","Czechia","2"
"2022-07-30","Czechia","1"
"2022-07-31","Czechia","1"
"2022-08-01","Czechia","2"
"2022-08-02","Czechia","1"
"2022-08-03","Czechia","1"
"2022-08-04","Czechia","1"
"2022-08-07","Czechia","1"
"2022-08-08","Czechia","2"
"2022-08-09","Czechia","1"
"2022-08-14","Czechia","3"
"2022-08-16","Czechia","1"
"2022-08-18","Czechia","3"
"2022-08-19","Czechia","3"
"2022-08-20","Czechia","3"
"2022-08-22","Czechia","1"
"2022-08-23","Czechia","3"
"2022-08-25","Czechia","1"
"2022-08-28","Czechia","1"
"2022-08-30","Czechia","1"
"2022-09-02","Czechia","2"
"2022-09-12","Czechia","1"
"2022-09-22","Czechia","1"
"2022-09-27","Czechia","1"
"2022-09-28","Czechia","1"
"2022-09-29","Czechia","2"
"2022-11-11","Czechia","1"
"2022-05-16","Denmark","1"
"2022-05-19","Denmark","1"
"2022-05-29","Denmark","1"
"2022-05-30","Denmark","1"
"2022-06-02","Denmark","1"
"2022-06-09","Denmark","1"
"2022-06-10","Denmark","1"
"2022-06-11","Denmark","3"
"2022-06-12","Denmark","1"
"2022-06-13","Denmark","1"
"2022-06-14","Denmark","1"
"2022-06-16","Denmark","2"
"2022-06-20","Denmark","1"
"2022-06-22","Denmark","2"
"2022-06-24","Denmark","2"
"2022-06-25","Denmark","2"
"2022-06-26","Denmark","2"
"2022-06-27","Denmark","1"
"2022-06-30","Denmark","1"
"2022-07-01","Denmark","2"
"2022-07-02","Denmark","3"
"2022-07-05","Denmark","1"
"2022-07-06","Denmark","1"
"2022-07-07","Denmark","1"
"2022-07-08","Denmark","5"
"2022-07-10","Denmark","1"
"2022-07-11","Denmark","1"
"2022-07-12","Denmark","4"
"2022-07-14","Denmark","2"
"2022-07-15","Denmark","6"
"2022-07-16","Denmark","5"
"2022-07-17","Denmark","4"
"2022-07-18","Denmark","2"
"2022-07-19","Denmark","3"
"2022-07-20","Denmark","5"
"2022-07-21","Denmark","4"
"2022-07-22","Denmark","4"
"2022-07-23","Denmark","7"
"2022-07-24","Denmark","2"
"2022-07-25","Denmark","9"
"2022-07-26","Denmark","4"
"2022-07-27","Denmark","8"
"2022-07-28","Denmark","3"
"2022-07-29","Denmark","3"
"2022-07-30","Denmark","1"
"2022-07-31","Denmark","2"
"2022-08-01","Denmark","5"
"2022-08-02","Denmark","3"
"2022-08-03","Denmark","2"
"2022-08-04","Denmark","5"
"2022-08-05","Denmark","7"
"2022-08-06","Denmark","1"
"2022-08-07","Denmark","4"
"2022-08-08","Denmark","5"
"2022-08-09","Denmark","1"
"2022-08-10","Denmark","3"
"2022-08-11","Denmark","5"
"2022-08-12","Denmark","2"
"2022-08-13","Denmark","2"
"2022-08-14","Denmark","3"
"2022-08-15","Denmark","1"
"2022-08-16","Denmark","2"
"2022-08-18","Denmark","1"
"2022-08-19","Denmark","1"
"2022-08-22","Denmark","1"
"2022-08-23","Denmark","1"
"2022-08-24","Denmark","3"
"2022-08-26","Denmark","2"
"2022-09-01","Denmark","1"
"2022-09-02","Denmark","1"
"2022-09-05","Denmark","1"
"2022-09-08","Denmark","1"
"2022-09-09","Denmark","1"
"2022-09-16","Denmark","1"
"2022-09-17","Denmark","1"
"2022-09-19","Denmark","1"
"2022-09-26","Denmark","1"
"2022-09-28","Denmark","1"
"2022-10-01","Denmark","1"
"2022-10-02","Denmark","1"
"2022-12-01","Denmark","1"
"2022-06-16","Estonia","1"
"2022-06-25","Estonia","1"
"2022-07-07","Estonia","1"
"2022-07-10","Estonia","1"
"2022-07-13","Estonia","1"
"2022-07-21","Estonia","1"
"2022-07-22","Estonia","1"
"2022-07-23","Estonia","2"
"2022-08-18","Estonia","1"
"2022-09-05","Estonia","1"
"2022-05-15","Finland","1"
"2022-05-19","Finland","1"
"2022-06-01","Finland","1"
"2022-06-13","Finland","2"
"2022-06-21","Finland","1"
"2022-06-25","Finland","3"
"2022-06-26","Finland","1"
"2022-06-30","Finland","1"
"2022-07-02","Finland","2"
"2022-07-03","Finland","1"
"2022-07-04","Finland","1"
"2022-07-11","Finland","2"
"2022-07-13","Finland","1"
"2022-07-15","Finland","2"
"2022-07-20","Finland","1"
"2022-07-27","Finland","1"
"2022-07-28","Finland","1"
"2022-07-31","Finland","1"
"2022-08-03","Finland","2"
"2022-08-16","Finland","1"
"2022-08-20","Finland","1"
"2022-08-24","Finland","1"
"2022-08-26","Finland","1"
"2022-08-29","Finland","1"
"2022-08-30","Finland","1"
"2022-08-31","Finland","1"
"2022-09-01","Finland","3"
"2022-09-02","Finland","1"
"2022-09-04","Finland","1"
"2022-09-05","Finland","1"
"2022-09-12","Finland","1"
"2022-09-19","Finland","1"
"2022-09-21","Finland","1"
"2022-05-07","France","1"
"2022-05-09","France","2"
"2022-05-11","France","2"
"2022-05-12","France","1"
"2022-05-13","France","1"
"2022-05-14","France","1"
"2022-05-16","France","2"
"2022-05-17","France","3"
"2022-05-18","France","8"
"2022-05-19","France","2"
"2022-05-20","France","5"
"2022-05-21","France","2"
"2022-05-22","France","10"
"2022-05-23","France","8"
"2022-05-24","France","8"
"2022-05-25","France","7"
"2022-05-26","France","6"
"2022-05-27","France","5"
"2022-05-28","France","7"
"2022-05-29","France","12"
"2022-05-30","France","6"
"2022-05-31","France","10"
"2022-06-01","France","16"
"2022-06-02","France","11"
"2022-06-03","France","17"
"2022-06-04","France","14"
"2022-06-05","France","17"
"2022-06-06","France","16"
"2022-06-07","France","22"
"2022-06-08","France","17"
"2022-06-09","France","25"
"2022-06-10","France","26"
"2022-06-11","France","23"
"2022-06-12","France","32"
"2022-06-13","France","42"
"2022-06-14","France","30"
"2022-06-15","France","41"
"2022-06-16","France","33"
"2022-06-17","France","36"
"2022-06-18","France","37"
"2022-06-19","France","35"
"2022-06-20","France","63"
"2022-06-21","France","74"
"2022-06-22","France","43"
"2022-06-23","France","50"
"2022-06-24","France","53"
"2022-06-25","France","42"
"2022-06-26","France","43"
"2022-06-27","France","69"
"2022-06-28","France","53"
"2022-06-29","France","52"
"2022-06-30","France","62"
"2022-07-01","France","75"
"2022-07-02","France","50"
"2022-07-03","France","54"
"2022-07-04","France","67"
"2022-07-05","France","65"
"2022-07-06","France","61"
"2022-07-07","France","78"
"2022-07-08","France","123"
"2022-07-09","France","36"
"2022-07-10","France","56"
"2022-07-11","France","73"
"2022-07-12","France","69"
"2022-07-13","France","72"
"2022-07-14","France","37"
"2022-07-15","France","70"
"2022-07-16","France","36"
"2022-07-17","France","36"
"2022-07-18","France","68"
"2022-07-19","France","60"
"2022-07-20","France","53"
"2022-07-21","France","42"
"2022-07-22","France","52"
"2022-07-23","France","20"
"2022-07-24","France","28"
"2022-07-25","France","78"
"2022-07-26","France","40"
"2022-07-27","France","47"
"2022-07-28","France","56"
"2022-07-29","France","73"
"2022-07-30","France","27"
"2022-07-31","France","25"
"2022-08-01","France","66"
"2022-08-02","France","44"
"2022-08-03","France","51"
"2022-08-04","France","51"
"2022-08-05","France","46"
"2022-08-06","France","12"
"2022-08-07","France","18"
"2022-08-08","France","43"
"2022-08-09","France","31"
"2022-08-10","France","60"
"2022-08-11","France","15"
"2022-08-12","France","35"
"2022-08-13","France","15"
"2022-08-14","France","17"
"2022-08-15","France","26"
"2022-08-16","France","33"
"2022-08-17","France","25"
"2022-08-18","France","36"
"2022-08-19","France","25"
"2022-08-20","France","10"
"2022-08-21","France","20"
"2022-08-22","France","20"
"2022-08-23","France","16"
"2022-08-24","France","39"
"2022-08-25","France","18"
"2022-08-26","France","18"
"2022-08-27","France","13"
"2022-08-28","France","17"
"2022-08-29","France","32"
"2022-08-30","France","19"
"2022-08-31","France","20"
"2022-09-01","France","21"
"2022-09-02","France","17"
"2022-09-03","France","9"
"2022-09-04","France","12"
"2022-09-05","France","24"
"2022-09-06","France","14"
"2022-09-07","France","14"
"2022-09-08","France","12"
"2022-09-09","France","18"
"2022-09-10","France","12"
"2022-09-11","France","7"
"2022-09-12","France","14"
"2022-09-13","France","6"
"2022-09-14","France","9"
"2022-09-15","France","8"
"2022-09-16","France","2"
"2022-09-17","France","2"
"2022-09-18","France","4"
"2022-09-19","France","4"
"2022-09-20","France","6"
"2022-09-21","France","4"
"2022-09-22","France","3"
"2022-09-23","France","4"
"2022-09-24","France","4"
"2022-09-25","France","4"
"2022-09-26","France","6"
"2022-09-27","France","2"
"2022-09-28","France","4"
"2022-09-29","France","3"
"2022-09-30","France","4"
"2022-10-01","France","4"
"2022-10-02","France","3"
"2022-10-03","France","4"
"2022-10-04","France","1"
"2022-10-05","France","3"
"2022-10-07","France","2"
"2022-10-08","France","2"
"2022-10-10","France","1"
"2022-10-13","France","2"
"2022-10-14","France","2"
"2022-10-15","France","2"
"2022-10-16","France","1"
"2022-10-17","France","1"
"2022-10-20","France","1"
"2022-10-22","France","1"
"2022-10-24","France","2"
"2022-10-26","France","1"
"2022-11-04","France","2"
"2022-11-09","France","1"
"2022-11-16","France","1"
"2022-11-19","France","1"
"2022-11-26","France","1"
"2022-12-10","France","1"
"2022-05-29","Georgia","1"
"2022-07-27","Georgia","1"
"2022-05-02","Germany","1"
"2022-05-04","Germany","1"
"2022-05-09","Germany","1"
"2022-05-11","Germany","2"
"2022-05-13","Germany","4"
"2022-05-14","Germany","4"
"2022-05-15","Germany","3"
"2022-05-16","Germany","3"
"2022-05-17","Germany","5"
"2022-05-18","Germany","7"
"2022-05-19","Germany","7"
"2022-05-20","Germany","5"
"2022-05-21","Germany","6"
"2022-05-22","Germany","4"
"2022-05-23","Germany","5"
