"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,3.66675275283323,1.25346132262189,1.95859958459819,2.16299143702044,2.73524126911003,3.38764079353706,4.68382607851787,5.8695793377336,6.35543036386789
"2",3,9,3.84887148564736,1.25264748011793,1.76296983389257,2.04295281734217,2.9606804944009,3.73105666918016,4.58031729947947,6.06855288848131,6.61167322672316
"3",4,10,3.8042453768678,1.42382236875207,1.65993967704573,1.91000696332575,2.76657340728525,3.60292480984836,4.58641830302382,6.47156688937861,7.1983955817823
"4",5,11,3.6207589509899,1.3751276016105,1.55830766538901,1.77515234052874,2.61780525319815,3.4135602642727,4.40128537764687,6.20226381855988,6.79827938161763
"5",6,12,4.09576889663725,1.50936033126298,1.76983575523781,2.04722481374892,3.00832948001386,3.85911013177336,4.96506634847185,6.86836863203854,7.63181039049565
"6",7,13,3.58574588200699,1.43546064795277,1.49371367160466,1.69732185613572,2.54469026635657,3.36181821199298,4.37556134989306,6.29334270654328,7.00720173338137
"7",8,14,3.26554395513552,1.35029143990454,1.33016679792387,1.51061852124885,2.28937847844854,3.03144602277751,4.00195741804862,5.77574083824737,6.50248881571457
"8",9,15,3.18189421186821,1.33016858270272,1.32178583792033,1.5024045377638,2.22529847130746,2.9303077474109,3.87317312996083,5.69845854365563,6.38945802929336
"9",10,16,2.53565709410255,1.08751995828098,1.04694306727726,1.1971171208428,1.77180965834952,2.32383457103428,3.06938401569589,4.59952288200114,5.21859308256529
"10",11,17,2.38598090587104,0.931844267238314,1.05460635567288,1.19604970775098,1.72773615585205,2.21880561288385,2.86516313510387,4.14815833920018,4.67001411567802
"11",12,18,2.44547817086842,0.841719369229335,1.18397568964894,1.32514701722526,1.84636055078367,2.31259085012645,2.89584641870987,4.00039588764033,4.45825443154383
"12",13,19,1.87080520352133,0.640172110035465,0.88198593641796,0.996707878493648,1.41582623821831,1.78313542739196,2.23152006511063,3.03317092777533,3.36287718049158
"13",14,20,1.70541748856523,0.557767827606204,0.82683677628484,0.933548097995646,1.30599205487772,1.63051077227548,2.02669045593687,2.7227194568092,2.99209174544872
"14",15,21,1.57167736081798,0.495872100209423,0.773033872174678,0.868527622379943,1.21425277098718,1.51322774341349,1.86629401697469,2.47540383816349,2.69561304435924
"15",16,22,1.46240485030375,0.448079659145665,0.738015172425939,0.824333524709106,1.14188180082067,1.4128881661079,1.73045733244808,2.27028199710166,2.48220463448531
"16",17,23,1.37964445230178,0.41782796756928,0.699248223962689,0.779070213626829,1.07654954942471,1.33445919245613,1.62768522343999,2.13692540908189,2.32484218720426
"17",18,24,1.42312534203297,0.41038917409525,0.738402351954693,0.828000633872522,1.13039165713097,1.3784357451083,1.67005509573172,2.15932063488481,2.33844483419898
"18",19,25,1.16130499235368,0.359867580248134,0.567818326074688,0.642947081435481,0.902896806758923,1.12338908062572,1.37606250574554,1.81433186246229,1.96950640774345
"19",20,26,1.11214163478471,0.344928260183073,0.551523317066463,0.617063910113981,0.861358841668075,1.07359754948793,1.32007240369026,1.73520153553136,1.89186829338089
"20",21,27,1.08370237515641,0.33321703218363,0.533355888990666,0.601703247104006,0.843100057979766,1.04938549613184,1.28837315050903,1.67891630862673,1.83413707968489
"21",22,28,1.05567072962683,0.320434925926096,0.52711345206563,0.590678878883068,0.827097884623683,1.02288575092724,1.24797404995339,1.63153951165408,1.77930758328981
"22",23,29,1.03907701174641,0.312852538307578,0.519534458040897,0.586078518397402,0.811460947782728,1.00944171163958,1.23066688489767,1.60343859486886,1.73635642262874
"23",24,30,1.02880198038376,0.31135051257812,0.515329431057064,0.574319414647871,0.807282776123361,0.996947971982053,1.21992131225115,1.58005902069841,1.72094613502458
