"data","region","cases","cumulative"
2022-07-12,"Sardegna",0,0
2022-07-12,"Sicilia",0,0
2022-07-12,"Toscana",1,4
2022-07-12,"PA Bolzano",0,1
2022-07-12,"PA Trento",0,1
2022-07-12,"Umbria",0,0
2022-07-12,"Valle d'Aosta",0,0
2022-07-12,"Veneto",5,18
2022-07-15,"Basilicata",0,0
2022-07-15,"Calabria",0,0
2022-07-15,"Campania",2,3
2022-07-15,"Emilia-Romagna",8,42
2022-07-15,"Friuli-Venezia Giulia",2,6
2022-07-15,"Lazio",5,71
2022-07-15,"Liguria",3,5
2022-07-15,"Lombardia",17,164
2022-07-15,"Marche",1,2
2022-07-15,"Molise",0,0
2022-07-15,"Piemonte",0,6
2022-07-15,"Puglia",0,7
2022-07-15,"Sardegna",0,0
2022-07-15,"Sicilia",2,2
2022-07-15,"Toscana",3,7
2022-07-15,"PA Bolzano",0,1
2022-07-15,"PA Trento",0,1
2022-07-15,"Umbria",0,0
2022-07-15,"Valle d'Aosta",0,0
2022-07-15,"Veneto",4,22
2022-07-19,"Basilicata",0,0
2022-07-19,"Calabria",0,0
2022-07-19,"Campania",0,3
2022-07-19,"Emilia-Romagna",2,44
2022-07-19,"Friuli-Venezia Giulia",1,7
2022-07-19,"Lazio",9,80
2022-07-19,"Liguria",3,8
2022-07-19,"Lombardia",11,175
2022-07-19,"Marche",0,2
2022-07-19,"Molise",0,0
2022-07-19,"Piemonte",1,7
2022-07-19,"Puglia",0,7
2022-07-19,"Sardegna",0,0
2022-07-19,"Sicilia",0,2
2022-07-19,"Toscana",2,9
2022-07-19,"PA Bolzano",0,1
2022-07-19,"PA Trento",1,2
2022-07-19,"Umbria",0,0
2022-07-19,"Valle d'Aosta",0,0
2022-07-19,"Veneto",5,27
2022-07-22,"Basilicata",0,0
2022-07-22,"Calabria",0,0
2022-07-22,"Campania",0,3
2022-07-22,"Emilia-Romagna",3,47
2022-07-22,"Friuli-Venezia Giulia",1,8
2022-07-22,"Lazio",8,88
2022-07-22,"Liguria",0,8
2022-07-22,"Lombardia",16,191
2022-07-22,"Marche",0,2
2022-07-22,"Molise",0,0
2022-07-22,"Piemonte",0,7
2022-07-22,"Puglia",1,8
2022-07-22,"Sardegna",0,0
2022-07-22,"Sicilia",0,2
2022-07-22,"Toscana",0,9
2022-07-22,"PA Bolzano",0,1
2022-07-22,"PA Trento",0,2
2022-07-22,"Umbria",0,0
2022-07-22,"Valle d'Aosta",0,0
2022-07-22,"Veneto",4,31
2022-07-26,"Basilicata",0,0
2022-07-26,"Calabria",0,0
2022-07-26,"Campania",1,4
2022-07-26,"Emilia-Romagna",2,49
2022-07-26,"Friuli-Venezia Giulia",1,9
2022-07-26,"Lazio",2,90
2022-07-26,"Liguria",0,8
2022-07-26,"Lombardia",6,197
2022-07-26,"Marche",0,2
2022-07-26,"Molise",0,0
2022-07-26,"Piemonte",3,10
2022-07-26,"Puglia",0,8
2022-07-26,"Sardegna",0,0
2022-07-26,"Sicilia",0,2
2022-07-26,"Toscana",3,12
2022-07-26,"PA Bolzano",0,1
2022-07-26,"PA Trento",1,3
2022-07-26,"Umbria",0,0
2022-07-26,"Valle d'Aosta",0,0
2022-07-26,"Veneto",0,31
2022-07-29,"Basilicata",0,0
2022-07-29,"Calabria",0,0
